Month,Virginia,California,Alaska,Oregon,Washington,Hawaii,New Jersey,Nevada,New Hampshire,Connecticut,New York,Rhode Island,Maine,Vermont,Arizona,South Dakota,Massachusetts,Michigan,Florida,Illinois,Minnesota,Kansas,Idaho,Wisconsin,Pennsylvania,Missouri,Ohio,Texas,Indiana,Wyoming,North Dakota,District of Columbia,Utah,Delaware,Maryland,Arkansas,Nebraska,Colorado,Oklahoma,Iowa,North Carolina,West Virginia,Montana,Georgia,Kentucky,Louisiana,Mississippi,Tennessee,New Mexico,Alabama,South Carolina
2004-01-01,60,66,51,32,40.5,36.96,46,12.71,0,33.2,26.6,0,25.84,0,19.24,0,30.36,24.84,29.92,27.54,27.2,6.46,0,26.86,24.5,33,33,23.7,13.33,11.78,7.75,12,8.7,0,27.84,0,10.36,17.36,10.92,0,19.6,28,0,17.68,9.88,18.5,0,15.25,0,11.22,0
2004-02-01,77,60.06,39.27,8.5,27.9,27.72,29.44,35.26,23.79,27.6,38,38,15.58,36,22.2,0,14.52,20.16,22.44,34,32,9.52,17,19.38,33.25,26.73,32.01,22.8,15.19,15.19,15.19,30,5.7,0,14.21,22.91,27.16,10.36,0,23.52,28,0,0,24.44,0,6.5,0,25,7.48,7.48,15.54
2004-03-01,0,61.38,0,17,45,44,28.98,41,35.49,40,33.06,19.76,0,0,21.09,8.28,13.86,36,24.82,26.86,28.8,0,0,8.5,29.05,20.13,23.43,29.1,31,0,13.95,5.7,30,19.5,24.36,0,0,12.6,28,16.24,15.12,0,0,17.94,8.32,15,23.04,19.75,8.8,19.8,11.13
2004-04-01,46,53.46,0,50,24.75,14.52,28.98,6.97,18.33,13.6,23.56,0,30.02,0,27.38,0,27.72,25.56,24.82,23.12,14.72,7.82,34,13.94,32.9,30.36,27.06,26.7,8.68,0,0,14.1,5.7,30,16.53,14.79,0,15.68,20.72,0,7.84,11.2,14.04,21.58,11.18,20.5,0,18.75,0,11,21
2004-05-01,53,44.22,0,26.5,33.3,0,27.14,29.52,0,16.4,15.58,21.28,0,0,19.24,0,19.8,17.28,27.88,20.74,11.52,14.62,10.54,31.96,34.65,20.46,24.75,21.6,25.42,0,8.06,16.2,7.2,0,18.27,13.92,7.84,17.08,16.8,12.32,17.92,15.12,0,22.1,7.8,12.75,0,5.75,0,0,9.03
2004-06-01,58,43.56,0,33,24.3,19.8,25.76,17.22,0,15.6,17.86,17.1,23.56,9.72,36.26,7.56,25.74,22.68,26.18,22.78,14.72,34,0,13.94,19.95,12.87,30.03,23.4,10.23,10.23,31,18,14.1,13.5,15.66,0,0,15.4,15.12,28,18.48,12.6,11.61,20.02,0,25,0,0,22,14.08,6.51
2004-07-01,59,64.68,20.91,37,37.35,40.92,35.88,21.73,0,18.4,33.44,24.7,23.94,16.56,36.26,36,18.15,11.52,26.18,33.32,28.48,14.96,18.36,8.5,35,28.05,22.11,30,5.27,31,0,11.7,0,0,15.08,29,17.92,7.28,21,14,16.24,0,0,18.72,14.04,15,12.96,11.5,0,0,8.61
2004-08-01,73,62.04,44.37,35.5,35.1,0,39.56,6.15,26.91,13.2,27.36,0,28.12,0,29.23,0,33,30.6,25.84,20.74,29.76,16.32,9.52,30.26,28.7,24.09,19.47,27.6,6.82,0,0,22.8,21,0,24.07,0,9.52,28,16.24,6.72,18.48,12.04,13.23,17.68,23.66,0,0,15,8.58,20.46,10.08
2004-09-01,30,48.18,40.8,20.5,25.2,11,20.7,8.2,34.71,10.8,23.56,9.88,0,0,25.9,0,16.5,16.92,22.44,15.3,16.32,22.44,0,13.94,28,17.82,16.5,19.2,8.37,8.68,0,17.1,0,6.6,16.82,25.52,25.2,13.44,7.84,10.92,16.52,8.68,20.79,12.48,0,3.75,16.56,10,0,5.94,9.45
2004-10-01,77,52.8,0,35,24.75,7.92,34.5,18.86,12.48,15.6,26.6,0,38,29.52,34.41,0,27.72,27.72,34,22.1,16.96,10.88,10.2,26.86,16.45,16.17,28.05,24.9,11.78,10.23,11.16,0,17.7,0,28.42,8.99,28,17.36,17.36,15.12,21.56,17.64,0,25.48,26,7,12.48,23.5,5.5,13.86,5.25
2004-11-01,40,53.46,41.31,31,36,29.48,37.72,0,19.11,12.8,30.02,7.98,12.16,12.6,30.71,0,18.15,16.92,26.52,22.1,24.64,10.54,0,25.5,33.95,17.82,21.45,24.6,12.71,0,6.2,6,14.1,0,8.7,11.02,0,9.8,27.72,14.84,13.44,0,27,18.2,18.46,7.75,19.68,20,11.22,10.12,15.96
2004-12-01,86,58.74,19.38,29.5,39.6,18.04,43.7,27.47,19.89,12.4,24.7,17.86,18.24,0,37,12.6,29.7,16.56,23.46,28.56,15.36,10.2,10.88,16.66,33.25,9.9,23.1,24,7.44,0,9.61,10.2,12.9,18.9,29,7.54,13.16,15.4,16.8,15.96,22.96,12.6,7.02,15.08,10.4,7.5,0,17,4.4,0,13.02
2005-01-01,76,53.46,0,21,35.55,18.04,43.24,18.45,34.32,11.2,33.44,14.82,15.96,6.48,20.35,0,16.17,18.36,26.18,26.52,16.64,13.94,0,34,31.5,31.35,29.04,28.2,16.43,0,0,13.2,17.1,12.6,26.39,16.53,15.12,17.92,21,15.12,21.56,0,8.64,26,0,10.25,24,19.25,11.66,13.86,7.56
