Region,airsoft: (2004/1/1 - 2023/4/10)
Hawaii,100
Rhode Island,97
Utah,91
Idaho,86
Tennessee,84
Maine,83
Arizona,80
New Hampshire,79
Oklahoma,79
Connecticut,78
New Jersey,77
Georgia,77
Washington,76
Kansas,76
Colorado,76
Michigan,75
Vermont,75
Missouri,75
West Virginia,74
North Carolina,74
Pennsylvania,74
Ohio,74
Wyoming,74
Alaska,74
California,73
Minnesota,73
Wisconsin,71
Iowa,71
Kentucky,70
Oregon,70
Massachusetts,69
Indiana,68
Virginia,67
Montana,66
South Carolina,65
Florida,63
Nebraska,63
Maryland,62
Delaware,62
New Mexico,61
Arkansas,60
Alabama,60
Texas,60
New York,59
South Dakota,58
Illinois,57
North Dakota,55
Louisiana,55
Mississippi,53
Nevada,53
District of Columbia,50
