Region,laser tag: (2004/1/1 - 2023/4/10)
Louisiana,100
Maryland,71
Wisconsin,65
District of Columbia,62
Indiana,59
Virginia,57
Missouri,50
Arizona,49
Illinois,49
Nevada,49
Alabama,48
Connecticut,48
Ohio,46
Iowa,45
North Carolina,45
Pennsylvania,45
Delaware,44
Colorado,43
Tennessee,43
Oklahoma,42
New York,42
Utah,42
Washington,42
California,41
New Jersey,41
Kansas,41
Kentucky,41
Mississippi,41
Michigan,41
Massachusetts,39
Florida,38
Nebraska,38
South Carolina,37
New Hampshire,36
Georgia,36
Rhode Island,35
Hawaii,34
Texas,33
Wyoming,33
Oregon,33
Montana,33
Maine,33
South Dakota,32
Minnesota,32
Arkansas,32
Vermont,31
Alaska,31
West Virginia,28
Idaho,27
North Dakota,26
New Mexico,19
